Well_ID,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality
,13.14,80.18,2020,7.2,3830,0,586,484.0,590.0,170.0,870,176.0,105.0,530.0,15.0,1.13,2298.0,2
,12.26,79.91,2020,7.2,5620,0,537,740.0,1465.0,67.0,1380,256.0,180.0,728.0,10.0,0.5,3372.0,2
,13.11,80.16,2020,7.3,2270,0,403,299.0,246.0,77.0,520,128.0,49.0,273.0,9.6,0.56,1362.0,2
,13.15,79.83,2020,7.8,2300,0,573,341.0,152.0,1.9,210,32.0,32.0,405.0,3.7,0.5,1380.0,1
,13.0889,79.6667,2020,7.8,1044,0,214,160.0,109.0,2.6,360,90.0,33.0,94.0,5.1,0.3,626.4,1
,13.1339,79.6305,2020,7.8,724,0,366,32.0,28.0,19.0,230,42.0,30.0,81.0,0.92,1.32,434.4,1
,13.17,79.61,2020,7.9,2450,0,342,569.0,100.0,38.0,700,132.0,90.0,195.0,2.5,0.8,1470.0,2
,13.19,79.58,2020,7.6,2280,0,403,377.0,135.0,153.0,770,196.0,68.0,99.0,0.41,0.68,1368.0,2
,13.14,79.55,2020,7.7,1860,0,256,420.0,112.0,17.0,480,104.0,54.0,207.0,3.3,0.6,1116.0,1
,13.21,79.75,2020,7.7,2930,0,427,676.0,86.0,1.4,430,80.0,56.0,395.0,1.3,0.72,1758.0,2
,12.9667,79.95,2020,7.9,2950,0,232,697.0,282.0,0.93,990,272.0,75.0,149.0,1.8,0.62,1770.0,2
,13.07,80.23,2020,7.7,2430,0,622,441.0,76.0,1.1,400,72.0,54.0,378.0,12.0,0.28,1458.0,1
,13.12,80.26,2020,8.0,1181,0,372,117.0,63.0,0.9,60,10.0,8.5,98.0,180.0,1.2,708.6,1
,13.2,80.15,2020,2.2,3260,0,0,697.0,10.0,0.35,130,16.0,22.0,319.0,13.0,0.56,1956.0,2
,13.2703,80.2631,2020,7.1,4660,0,451,1131.0,299.0,32.0,1240,312.0,112.0,382.0,25.0,1.55,2796.0,2
,13.31,80.28,2020,7.5,1704,0,317,327.0,80.0,47.0,270,76.0,19.0,212.0,39.0,1.02,1022.4,2
,13.33,80.28,2020,7.2,2960,0,244,761.0,89.0,11.0,1160,320.0,88.0,192.0,7.0,0.91,1776.0,2
,13.33,80.29,2020,8.0,6140,0,1537,1095.0,370.0,85.0,380,56.0,58.0,1061.0,265.0,1.31,3684.0,2
,13.38,80.29,2020,8.1,222,0,24,36.0,20.0,0.18,20,2.0,4.0,34.0,2.0,0.91,133.2,0
,13.42,80.31,2020,7.5,1805,0,403,384.0,105.0,3.69,510,120.0,51.0,221.0,3.0,1.38,1083.0,2
,13.4,80.25,2020,7.5,3550,0,354,740.0,312.0,0.8,980,212.0,109.0,393.0,5.5,0.44,2130.0,2
,13.4647,80.1119,2020,7.2,950,0,98,256.0,44.0,5.0,270,76.0,19.0,87.0,18.0,0.08,570.0,1
,13.2686,80.1531,2020,7.3,724,0,244,92.0,26.0,8.0,250,80.0,12.0,44.0,14.0,0.5,434.4,1
,13.15,80.2,2020,7.4,628,0,110,121.0,58.0,4.0,160,52.0,7.0,64.0,18.0,0.33,376.8,1
,13.2808,80.0769,2020,7.3,1160,0,317,192.0,66.0,4.0,260,60.0,27.0,143.0,15.0,0.71,696.0,1
,13.2483,80.1828,2020,7.5,389,0,92,64.0,34.0,1.0,100,28.0,7.0,39.0,16.0,0.5,233.4,0
,13.3125,80.05,2020,7.2,1112,0,317,149.0,45.0,58.0,360,100.0,27.0,78.0,19.0,0.23,667.2,1
,13.3417,79.9083,2020,7.4,1167,0,305,199.0,60.0,12.0,390,84.0,44.0,81.0,18.0,0.57,700.2,1
,13.2042,80.1792,2020,7.6,793,0,195,142.0,42.0,7.0,250,76.0,15.0,67.0,2.0,1.25,475.8,1
,13.0042,80.1875,2020,7.4,770,0,171,156.0,32.0,7.0,230,56.0,22.0,58.0,25.0,0.91,462.0,1
,12.8128,80.2433,2020,7.1,2100,0,171,575.0,107.0,1.0,470,84.0,63.0,252.0,20.0,0.35,1260.0,2
,12.7792,79.7208,2020,7.2,572,0,171,92.0,42.0,3.0,190,48.0,17.0,38.0,18.0,1.01,343.2,1
,12.9,80.23,2020,6.8,2360,0,207,484.0,84.0,81.0,310,112.0,7.3,298.0,47.0,0.66,1416.0,2
,12.99,80.23,2020,7.1,1604,0,37,447.0,18.0,7.3,60,8.0,9.7,297.0,12.0,0.0,962.4,1
