Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,U(ppb),TDS,Water_Quality
10.4619,77.7061,2021,7.0,1789,0,470,177.0,58.0,189.0,620,88.0,97.0,103.0,5.0,1.17,0.02,1073.4,2
10.4167,77.8611,2021,7.7,1342,0,464,131.0,47.0,70.0,380,68.0,51.0,129.0,6.0,0.23,2.06,805.2,1
10.4167,77.8611,2021,7.8,1329,0,354,156.0,82.0,102.0,495,130.0,41.0,83.0,2.0,0.96,2.06,797.4,2
10.7416,78.1041,2021,7.6,2710,0,226,794.0,67.0,27.0,1130,120.0,202.0,115.0,8.0,0.88,16.73,1626.0,2
10.4383,78.0855,2021,7.86,1200,0,336,152.0,96.0,15.0,345,72.0,40.0,115.0,5.0,0.98,10.87,720.0,1
10.4597,78.0272,2021,8.2,1094,0,366,128.0,43.0,21.0,350,40.0,61.0,83.0,12.0,0.1,5.46,656.4,1
10.4053,78.0453,2021,7.81,4180,0,928,681.0,240.0,161.0,890,220.0,83.0,552.0,16.0,0.29,3,2508.0,2
10.59,77.5269,2021,7.8,2340,0,366,553.0,34.0,99.0,690,78.0,120.0,221.0,14.0,0.9,1.75,1404.0,2
10.5333,77.5208,2021,7.68,1291,0,549,78.0,43.0,50.0,425,20.0,91.0,92.0,12.0,0.53,0.22,774.6,1
10.4422,78.103,2021,7.23,2360,0,323,418.0,221.0,149.0,610,144.0,61.0,276.0,4.0,0.38,1.74,1416.0,2
10.3583,78.1,2021,7.76,2490,0,421,440.0,154.0,109.0,740,196.0,61.0,219.0,4.0,0.28,1.59,1494.0,2
10.5458,78.0719,2021,8.0,2270,0,281,362.0,206.0,231.0,660,100.0,100.0,216.0,12.0,0.23,13.18,1362.0,2
10.5306,77.9528,2021,7.77,4160,0,488,1028.0,202.0,5.0,1060,68.0,216.0,460.0,13.0,0.71,4.74,2496.0,2
12.4064,79.8133,2021,7.81,1020,0,384,142.0,3.0,1.0,390,84.0,44.0,37.0,1.0,1.04,0.5,612.0,1
12.902,80.2494,2021,7.48,853,0,256,121.0,46.0,57.0,310,52.0,44.0,54.0,17.0,0.12,2.49,511.8,1
12.5689,79.7233,2021,7.1,1150,0,299,145.0,60.0,70.0,380,100.0,32.0,64.0,1.0,0.52,1.59,690.0,1
12.4064,79.8133,2021,7.2,1422,0,323,248.0,50.0,40.0,450,64.0,70.0,99.0,1.0,1.15,3,853.2,1
12.8633,80.2261,2021,7.45,764,0,92,114.0,108.0,34.0,190,20.0,34.0,69.0,40.0,0.37,0.18,458.4,0
12.9403,80.1378,2021,7.42,497,0,134,60.0,16.0,50.0,165,24.0,26.0,36.0,1.0,0.17,0.28,298.2,0
12.95,80.1338,2021,7.09,1761,0,525,312.0,29.0,7.0,530,76.0,83.0,169.0,4.0,0.91,1.04,1056.6,1
12.2586,79.9028,2021,7.11,485,0,226,28.0,2.0,21.0,160,32.0,19.0,36.0,0.0,0.4,0.47,291.0,0
12.8439,80.0622,2021,7.15,1360,0,275,220.0,10.0,99.0,420,120.0,29.0,96.0,30.0,0.69,0.73,816.0,1
