Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,U(ppb),TDS,Water_Quality
13.2276,80.3255,2021,7.6,1354,0,67,426.0,9.0,1.0,120,36.0,7.0,245.0,7.0,0.11,0.5,812.4,1
13.4156,80.13,2021,7.62,1409,0,238,199.0,182.0,39.0,440,56.0,73.0,96.0,34.0,0.71,1.64,845.4,1
13.1449,80.1042,2021,7.36,894,0,122,195.0,22.0,45.0,230,64.0,17.0,84.0,9.0,0.44,0.21,536.4,1
13.0957,79.9916,2021,7.16,3020,0,336,696.0,204.0,11.0,1000,248.0,92.0,224.0,8.0,1.31,0.7,1812.0,2
13.2705,80.2631,2021,7.23,3120,0,262,880.0,51.0,5.0,960,248.0,83.0,270.0,1.0,0.57,1.12,1872.0,2
13.2714,80.278,2021,7.4,3760,0,397,973.0,121.0,6.0,1100,248.0,117.0,357.0,10.0,0.26,1.16,2256.0,2
13.3169,79.9625,2021,7.21,1039,0,342,124.0,24.0,51.0,210,40.0,27.0,120.0,34.0,0.75,6.11,623.4,1
13.1197,80.0704,2021,7.63,1701,0,238,241.0,305.0,28.0,410,72.0,56.0,197.0,10.0,1.1,3.31,1020.6,1
13.3225,80.1837,2021,7.59,810,0,262,135.0,12.0,11.0,240,52.0,27.0,80.0,1.0,0.88,2.84,486.0,1
13.2311,80.1691,2021,7.12,1338,0,476,178.0,24.0,4.0,225,28.0,38.0,200.0,1.0,1.21,8.37,802.8,1
13.0588,80.0524,2021,7.45,972,0,329,142.0,14.0,6.0,280,52.0,36.0,96.0,4.0,1.14,0.43,583.2,1
13.1313,79.7794,2021,7.67,1371,0,445,178.0,39.0,75.0,370,88.0,36.0,154.0,4.0,0.96,3.86,822.6,1
13.1357,79.909,2021,7.31,2410,0,488,476.0,103.0,2.0,630,100.0,92.0,260.0,2.0,1.2,5.2,1446.0,2
13.067,80.1366,2021,7.1,1741,0,415,263.0,127.0,21.0,480,132.0,36.0,163.0,7.0,0.79,2.82,1044.6,1
8.7344,77.9194,2021,7.5,1387,0,232,184.0,80.0,137.0,450,100.0,49.0,60.0,11.0,0.66,1.17,832.2,2
9.2178,77.9833,2021,7.3,4350,0,244,581.0,670.0,114.0,1060,248.0,107.0,315.0,172.0,1.1,15.7,2610.0,2
11.9,79.05,2021,7.0,340,0,98,21.0,11.0,28.0,100,20.0,12.0,15.0,2.0,0.37,1.2,204.0,0
9.1444,77.7056,2021,7.6,773,0,195,78.0,30.0,42.0,190,52.0,15.0,78.0,1.0,0.44,1.06,463.8,1
9.1486,77.7167,2021,7.8,1158,0,439,99.0,118.0,32.0,340,72.0,39.0,112.0,30.0,0.28,3.5,694.8,1
9.15,78.1667,2021,7.8,1828,0,537,213.0,131.0,25.0,270,36.0,44.0,310.0,8.0,1.55,3.96,1096.8,2
8.9444,77.775,2021,7.3,1550,0,366,227.0,131.0,28.0,405,36.0,77.0,140.0,12.0,1.16,1.4,930.0,1
8.9306,78.0917,2021,7.1,8440,0,921,1468.0,531.0,116.0,2180,604.0,163.0,752.0,17.0,1.19,125,5064.0,2
8.8333,77.8958,2021,7.0,835,0,342,43.0,35.0,15.0,230,48.0,27.0,56.0,57.0,0.4,0.78,501.0,1
9.2333,78.1306,2021,7.5,1181,0,238,170.0,59.0,50.0,240,80.0,10.0,124.0,26.0,0.7,1.98,708.6,1
8.65,77.95,2021,7.5,3820,0,268,837.0,113.0,117.0,1190,192.0,173.0,163.0,52.0,0.54,12.2,2292.0,2
9.3128,78.1361,2021,8.2,2720,0,1025,85.0,188.0,136.0,100,16.0,15.0,534.0,13.0,1.74,31,1632.0,2
8.4958,77.8333,2021,7.5,800,0,244,64.0,39.0,26.0,255,64.0,23.0,32.0,12.0,0.3,2.48,480.0,1
8.6083,77.85,2021,7.4,2350,0,232,418.0,113.0,143.0,750,168.0,80.0,91.0,16.0,0.4,11.58,1410.0,2
8.4958,78.1208,2021,7.8,1435,0,354,241.0,12.0,23.0,320,68.0,36.0,155.0,21.0,0.23,1.92,861.0,1
9.325,78.0792,2021,7.8,1600,0,336,184.0,64.0,93.0,640,148.0,66.0,30.0,17.0,0.4,7.1,960.0,2
9.0583,77.85,2021,7.4,7520,0,329,794.0,2160.0,52.0,3105,376.0,526.0,420.0,38.0,1.52,9,4512.0,2
12.6244,78.7528,2021,8.29,2340,0,385,290.0,10.0,53.0,530,72.0,85.0,72.0,21.0,0.8,2.15,1404.0,1
12.7542,78.6975,2021,8.03,2070,0,278,510.0,45.0,46.0,485,92.0,62.0,241.0,32.0,1.42,3.94,1242.0,1
12.9433,79.2869,2021,7.87,3255,0,439,696.0,56.0,16.0,680,168.0,63.0,350.0,2.0,0.65,19.6,1953.0,2
12.635,78.6039,2021,8.48,1192,30,370,285.0,40.0,9.0,630,92.0,97.0,29.0,19.0,0.51,1.49,715.2,2
12.7653,78.8386,2021,8.44,1187,24,305,216.0,24.0,19.0,400,120.0,24.0,83.0,8.0,0.15,5.75,712.2,1
12.9094,79.3617,2021,7.93,1865,0,323,362.0,96.0,45.0,660,78.0,113.0,115.0,5.0,0.82,7,1119.0,2
12.5458,78.5761,2021,8.51,2340,18,360,290.0,10.0,53.0,530,72.0,85.0,72.0,21.0,0.8,3.67,1404.0,1
12.9597,79.1125,2021,8.11,2448,0,360,280.0,557.0,40.0,350,40.0,61.0,428.0,8.0,0.4,3.6,1468.8,2
12.4797,78.4514,2021,7.3,3170,0,366,560.0,288.0,82.0,730,124.0,102.0,368.0,1.0,1.53,11.1,1902.0,2
12.9897,79.6178,2021,7.29,3060,0,303,710.0,108.0,42.0,790,192.0,75.0,233.0,5.0,1.56,6,1836.0,2
12.8747,78.7597,2021,8.37,776,30,293,71.0,44.0,20.0,250,40.0,36.0,51.0,23.0,0.66,11.19,465.6,1
12.975,79.1208,2021,8.15,1352,0,427,220.0,7.0,19.0,500,34.0,101.0,78.0,8.0,0.22,12.6,811.2,1
12.5775,78.8119,2021,8.47,1123,30,366,145.0,34.0,6.0,135,32.0,13.0,189.0,10.0,1.12,1.65,673.8,1
12.8525,79.1097,2021,7.4,4480,0,561,737.0,435.0,68.0,930,84.0,175.0,548.0,1.0,1.41,16,2688.0,2
12.7725,78.8789,2021,8.21,1715,0,622,225.0,43.0,19.0,415,64.0,62.0,184.0,5.0,0.82,3.98,1029.0,1
12.9014,78.9456,2021,8.41,934,24,232,154.0,28.0,30.0,310,72.0,32.0,71.0,12.0,0.62,2.25,560.4,1
12.9042,78.9417,2021,8.25,1612,0,586,263.0,43.0,23.0,490,88.0,66.0,170.0,3.0,0.33,6.8,967.2,1
12.9431,78.7233,2021,8.19,2880,0,495,517.0,96.0,42.0,630,92.0,97.0,294.0,17.0,1.74,5.46,1728.0,2
12.3792,78.8472,2021,7.99,3210,0,403,657.0,250.0,105.0,1210,188.0,180.0,186.0,5.0,1.78,31,1926.0,2
12.7189,78.6619,2021,8.01,5650,0,488,1602.0,130.0,74.0,1300,128.0,238.0,718.0,7.0,0.41,16,3390.0,2
12.9578,78.9103,2021,8.18,914,0,210,192.0,18.0,55.0,255,80.0,13.0,85.0,16.0,0.7,21.3,548.4,1
12.8622,78.8347,2021,8.45,740,18,158,149.0,12.0,24.0,230,52.0,24.0,62.0,4.0,1.01,0.59,444.0,0
12.9569,78.9956,2021,7.86,2825,0,495,517.0,96.0,42.0,630,92.0,97.0,294.0,17.0,0.53,16,1695.0,2
12.1042,79.7417,2021,8.15,818,0,329,89.0,35.0,7.0,325,66.0,39.0,46.0,2.0,0.0,0.44,490.8,1
12.0917,79.9,2021,7.86,1878,0,207,341.0,274.0,2.0,220,28.0,36.0,317.0,26.0,0.19,0.21,1126.8,1
12.2083,79.9583,2021,6.19,643,0,250,57.0,23.0,0.0,200,72.0,5.0,46.0,8.0,0.0,0.4,385.8,0
9.44,77.5369,2021,7.5,2860,0,329,709.0,120.0,36.0,820,128.0,122.0,329.0,23.0,0.8,4.47,1716.0,2
9.3833,77.4656,2021,7.6,2320,0,598,255.0,101.0,168.0,580,56.0,107.0,204.0,57.0,0.92,2.85,1392.0,2
9.6042,77.7486,2021,8.1,1026,0,598,28.0,119.0,10.0,250,40.0,36.0,172.0,2.0,1.15,4.66,615.6,1
9.5667,78.075,2021,7.7,2450,0,378,560.0,245.0,80.0,990,156.0,146.0,252.0,7.0,0.51,6.38,1470.0,2
9.5542,78.0083,2021,7.4,1000,0,415,78.0,80.0,25.0,330,76.0,34.0,70.0,19.0,0.34,0.8,600.0,1
9.4914,77.9336,2021,8.2,1185,0,390,57.0,113.0,10.0,260,64.0,24.0,112.0,3.0,1.8,8.63,711.0,2
9.5583,77.9583,2021,7.7,940,0,281,128.0,112.0,54.0,390,72.0,51.0,103.0,12.0,0.67,1.35,564.0,1
9.5111,78.1972,2021,7.9,2090,0,781,177.0,63.0,34.0,370,68.0,49.0,240.0,28.0,1.88,3.58,1254.0,2
9.5108,77.755,2021,7.7,2620,0,464,291.0,333.0,34.0,600,76.0,100.0,250.0,5.0,1.76,11.54,1572.0,2
9.4169,77.7506,2021,7.6,643,0,256,43.0,18.0,36.0,300,48.0,44.0,17.0,6.0,0.72,0.56,385.8,1
9.5833,77.9542,2021,7.4,4710,0,561,737.0,321.0,42.0,720,84.0,124.0,580.0,5.0,1.41,7.81,2826.0,2
10.0786,78.1742,2021,7.84,950,0,329,96.0,54.0,23.0,375,64.0,52.0,40.0,6.8,1.01,2.32,570.0,1
9.7969,78.0933,2021,7.84,1796,0,390,284.0,20.0,174.0,680,136.0,83.0,93.0,3.4,0.85,1.82,1077.6,2
9.8042,78.0917,2021,7.63,1009,0,207,164.0,27.0,84.0,360,68.0,46.0,51.0,0.72,0.13,0.45,605.4,1
9.8364,78.0567,2021,7.77,625,0,207,68.0,32.0,0.18,160,28.0,22.0,60.0,3.6,0.4,0.54,375.0,0
9.8239,77.9883,2021,7.28,5960,0,451,1337.0,295.0,350.0,1720,128.0,340.0,511.0,3.1,1.35,16.7,3576.0,2
9.7867,78.0022,2021,8.19,1653,0,854,85.0,37.0,39.0,170,20.0,29.0,350.0,0.43,2.0,12.74,991.8,2
9.6417,77.9744,2021,7.57,2810,0,659,370.0,102.0,99.0,500,80.0,73.0,320.0,46.0,0.7,4,1686.0,1
9.8244,77.7989,2021,7.49,190,0,61,14.0,15.0,0.96,56,14.0,4.9,9.6,0.33,0.33,0,114.0,0
9.7628,77.7392,2021,7.58,2310,0,610,356.0,102.0,72.0,560,56.0,102.0,282.0,7.1,0.78,0.86,1386.0,1
9.8325,77.7167,2021,7.75,1283,0,305,213.0,33.0,53.0,380,68.0,51.0,113.0,1.1,2.38,0.51,769.8,2
9.9366,77.7837,2021,7.65,1685,0,378,256.0,120.0,36.0,570,56.0,105.0,155.0,2.2,0.86,4.69,1011.0,2
9.8739,77.8678,2021,7.99,658,0,366,25.0,5.0,6.1,270,40.0,41.0,29.0,3.7,0.42,0.58,394.8,1
9.9083,78.1528,2021,7.77,1677,0,634,156.0,138.0,19.0,320,40.0,54.0,251.0,16.0,1.46,3.06,1006.2,1
9.8967,78.2553,2021,7.38,2520,0,293,512.0,135.0,54.0,740,112.0,112.0,174.0,7.1,1.0,1.48,1512.0,2
9.9125,78.2569,2021,7.49,1637,0,293,327.0,70.0,30.0,510,64.0,85.0,153.0,5.4,1.2,2.24,982.2,1
9.9086,78.1858,2021,7.97,649,0,268,43.0,26.0,24.0,190,36.0,24.0,58.0,2.0,0.85,0.14,389.4,0
9.9347,78.1689,2021,7.2,95,0,24,5.7,3.5,0.91,24,6.4,1.9,1.5,0.22,0.0,0,57.0,0
9.9511,78.2072,2021,7.5,2880,0,378,583.0,175.0,62.0,520,80.0,78.0,341.0,53.0,0.79,7.38,1728.0,2
9.9772,78.1958,2021,7.64,604,0,226,50.0,31.0,17.0,195,34.0,27.0,42.0,2.0,0.86,1.62,362.4,0
13.0735,80.2263,2021,7.17,1538,0,336,259.0,66.0,31.0,255,64.0,23.0,205.0,26.0,0.76,1.06,922.8,1
12.9433,80.2544,2021,7.57,1504,0,336,263.0,56.0,75.0,380,64.0,54.0,150.0,48.0,0.27,6.34,902.4,1
13.0605,80.2824,2021,7.47,2300,0,329,511.0,73.0,65.0,650,112.0,90.0,203.0,26.0,0.19,0.27,1380.0,2
13.0748,80.2626,2021,7.58,1410,0,409,241.0,51.0,3.0,280,108.0,2.0,206.0,21.0,0.48,2.27,846.0,1
12.9828,80.2639,2021,7.45,1586,0,177,433.0,44.0,10.0,270,72.0,22.0,235.0,17.0,0.27,2.03,951.6,1
12.9264,80.2556,2021,7.42,527,0,159,78.0,47.0,17.0,230,76.0,10.0,22.0,8.0,0.28,1.99,316.2,1
12.9879,80.2643,2021,7.62,1432,0,268,355.0,37.0,2.0,330,60.0,44.0,185.0,9.0,0.23,5.84,859.2,1
12.9344,80.2569,2021,7.48,1090,0,250,213.0,51.0,7.0,250,64.0,22.0,128.0,18.0,0.35,2.71,654.0,1
12.92,80.2517,2021,7.55,1183,0,287,178.0,43.0,100.0,380,108.0,27.0,94.0,32.0,0.48,8.24,709.8,1
12.9789,80.2658,2021,7.37,1660,0,146,511.0,39.0,20.0,260,68.0,22.0,276.0,19.0,0.17,0.48,996.0,1
12.9786,80.2656,2021,6.8,2750,0,183,795.0,54.0,34.0,350,68.0,44.0,459.0,26.0,0.36,0.44,1650.0,1
12.9866,80.2499,2021,7.68,760,0,165,107.0,133.0,5.0,230,28.0,39.0,70.0,11.0,0.73,1.16,456.0,1
13.1054,80.2844,2021,7.53,976,0,299,156.0,42.0,30.0,300,96.0,15.0,84.0,22.0,0.15,2.84,585.6,1
12.9569,80.2606,2021,7.4,1594,0,299,341.0,66.0,42.0,420,88.0,49.0,186.0,18.0,0.41,6.79,956.4,1
11.5819,79.5533,2021,7.76,887,0,98,146.0,122.0,6.0,215,64.0,13.0,80.0,8.0,0.52,0,532.2,1
11.6067,79.635,2021,7.9,417,0,67,62.0,43.0,17.0,116,33.0,8.0,28.0,5.0,0.4,0,250.2,1
11.3833,79.6917,2021,8.1,9520,0,732,2404.0,438.0,7.0,980,28.0,221.0,1510.0,31.0,0.8,3.47,5712.0,2
11.3617,79.5083,2021,8.25,1111,0,268,149.0,72.0,0.0,320,76.0,32.0,69.0,16.0,0.15,0.14,666.6,1
11.6175,79.5539,2021,7.68,198,0,43,23.0,9.0,19.0,52,14.0,4.0,18.0,1.0,0.31,0,118.8,0
11.5222,79.5256,2021,7.99,1203,0,244,156.0,127.0,7.0,260,60.0,27.0,119.0,43.0,0.75,0.4,721.8,1
11.2872,79.5517,2021,8.2,763,0,183,132.0,33.0,23.0,275,62.0,29.0,44.0,6.0,0.16,0.15,457.8,1
11.4458,79.7639,2021,8.04,1706,0,342,312.0,129.0,1.0,420,84.0,51.0,171.0,53.0,0.0,0.48,1023.6,1
11.6011,79.7189,2021,7.44,1753,0,439,220.0,160.0,70.0,380,80.0,44.0,183.0,81.0,0.55,3.03,1051.8,1
11.6083,79.3167,2021,7.8,1631,0,537,206.0,109.0,3.0,480,56.0,80.0,193.0,7.0,2.18,3.24,978.6,2
11.5269,79.6517,2021,7.85,2620,0,378,299.0,430.0,19.0,500,108.0,56.0,291.0,17.0,0.98,1.45,1572.0,2
11.3108,79.6303,2021,8.29,1783,60,415,220.0,112.0,101.0,380,88.0,39.0,168.0,155.0,0.75,1.04,1069.8,2
11.6392,79.7472,2021,6.96,329,0,112,38.0,10.0,0.0,60,16.0,5.0,41.0,0.0,0.13,0.29,197.4,0
11.4133,79.5206,2021,8.1,3430,0,476,683.0,272.0,1.0,700,84.0,119.0,428.0,2.0,0.68,0,2058.0,2
11.4161,79.5722,2021,8.16,2660,0,464,313.0,492.0,0.0,760,104.0,122.0,248.0,4.0,0.36,0.13,1596.0,2
11.5085,79.7568,2021,7.94,1180,0,439,163.0,25.0,6.0,290,80.0,22.0,115.0,26.0,0.19,0.69,708.0,1
11.4894,79.7156,2021,8.0,604,0,159,53.0,107.0,0.0,220,66.0,13.0,47.0,2.0,0.55,0,362.4,0
11.5203,79.7197,2021,7.81,2350,0,366,398.0,240.0,8.0,580,108.0,75.0,221.0,10.0,0.68,1.31,1410.0,1
11.5186,79.3697,2021,7.74,652,0,134,96.0,72.0,5.0,205,58.0,15.0,36.0,18.0,0.39,0,391.2,0
11.5294,79.5311,2021,7.84,1043,0,122,128.0,168.0,51.0,255,74.0,17.0,98.0,37.0,0.66,0.07,625.8,1
11.6269,79.7194,2021,6.98,866,0,73,199.0,43.0,2.0,105,20.0,13.0,122.0,3.0,0.55,0.31,519.6,1
11.5692,79.6789,2021,7.82,812,0,274,100.0,45.0,5.0,180,42.0,18.0,98.0,7.0,0.61,1.8,487.2,1
11.5687,79.6769,2021,7.96,2980,0,573,569.0,144.0,11.0,450,64.0,70.0,420.0,8.0,0.87,8.8,1788.0,1
11.5892,79.5275,2021,7.8,157,0,43,20.0,12.0,6.0,46,10.0,5.0,15.0,1.0,0.75,0.13,94.2,0
11.6164,79.7414,2021,6.87,258,0,76,16.0,12.0,17.0,54,14.0,4.0,12.0,22.0,0.52,1.45,154.8,0
11.3207,79.5969,2021,8.1,1795,0,647,256.0,99.0,0.0,460,72.0,68.0,208.0,34.0,0.17,0.53,1077.0,1
11.5167,79.3375,2021,7.66,1002,0,220,135.0,148.0,21.0,300,74.0,28.0,102.0,4.0,0.84,0,601.2,1
12.2017,78.3544,2021,7.0,6950,0,268,1758.0,428.0,99.0,2490,572.0,258.0,255.0,0.0,0.36,24.1,4170.0,2
12.1128,78.4942,2021,7.3,2360,0,317,362.0,210.0,52.0,760,124.0,109.0,144.0,1.0,0.91,4.4,1416.0,2
12.0489,78.4767,2021,7.8,2370,0,439,362.0,206.0,38.0,780,64.0,151.0,112.0,1.0,1.7,5.17,1422.0,2
12.1942,78.295,2021,7.5,1208,0,268,128.0,102.0,98.0,540,100.0,70.0,23.0,1.0,0.6,2,724.8,1
12.1331,78.3197,2021,7.5,352,0,183,28.0,24.0,2.0,190,24.0,32.0,18.0,1.0,0.14,0.65,211.2,0
12.1361,77.9686,2021,7.6,1672,0,293,234.0,142.0,42.0,560,68.0,95.0,124.0,0.0,0.55,8.19,1003.2,1
11.9661,78.4139,2021,7.3,2990,0,476,532.0,306.0,65.0,830,104.0,139.0,249.0,15.0,0.42,7.3,1794.0,2
12.1431,78.2844,2021,7.0,1310,0,207,184.0,112.0,62.0,410,80.0,51.0,67.0,1.0,0.47,1.28,786.0,1
11.9111,78.3664,2021,7.1,2370,0,500,305.0,188.0,77.0,710,176.0,66.0,139.0,3.0,1.4,5.38,1422.0,2
12.1322,77.9006,2021,7.7,2330,0,439,298.0,128.0,60.0,780,172.0,85.0,121.0,2.0,0.24,4.25,1398.0,2
12.1081,78.4128,2021,7.4,350,0,159,35.0,24.0,4.0,180,28.0,27.0,18.0,1.0,0.14,0.57,210.0,0
11.9403,78.0594,2021,7.8,3520,0,427,638.0,312.0,74.0,1300,180.0,207.0,170.0,1.0,1.41,9.6,2112.0,2
10.5983,77.9756,2021,7.52,4050,0,323,1156.0,106.0,44.0,1240,144.0,214.0,368.0,9.0,0.49,4.18,2430.0,2
10.4072,78.0025,2021,7.98,1483,0,403,223.0,77.0,1.0,230,42.0,30.0,230.0,4.0,0.84,4.23,889.8,1
10.2377,77.7708,2021,7.7,1870,0,470,252.0,86.0,140.0,660,140.0,75.0,129.0,5.0,1.11,3.49,1122.0,2
10.3667,77.9708,2021,7.9,1876,0,531,206.0,144.0,73.0,410,80.0,51.0,242.0,4.0,1.1,0.14,1125.6,1
10.1669,77.6944,2021,7.8,600,0,256,28.0,34.0,10.0,245,44.0,33.0,20.0,6.0,0.66,0.13,360.0,1
10.3583,77.975,2021,7.64,2950,0,561,425.0,269.0,220.0,1020,140.0,163.0,230.0,1.0,0.57,3.17,1770.0,2
10.3377,78.9261,2021,7.71,1850,0,543,227.0,96.0,80.0,555,60.0,98.0,173.0,5.0,1.45,4.97,1110.0,1
9.8844,78.1889,2021,7.35,715,0,244,64.0,58.0,3.0,135,40.0,9.0,97.0,5.0,0.91,0.73,429.0,0
10.613,78.0505,2021,7.41,848,0,299,64.0,67.0,28.0,225,70.0,12.0,85.0,9.0,0.26,5.81,508.8,1
10.2814,78.0708,2021,7.4,1690,0,580,191.0,77.0,14.0,425,60.0,67.0,184.0,5.0,1.29,12.86,1014.0,1
11.2513,78.0369,2021,7.82,877,0,244,106.0,67.0,2.0,255,64.0,23.0,76.0,12.0,0.11,4.11,526.2,1
12.8898,80.143,2021,7.4,975,0,244,192.0,8.0,2.0,350,76.0,39.0,59.0,2.0,0.49,0.39,585.0,1
12.9827,80.1286,2021,6.9,1545,0,439,206.0,5.0,157.0,400,100.0,36.0,145.0,48.0,1.4,2.24,927.0,2
10.4633,77.79,2021,7.0,2010,0,336,347.0,70.0,30.0,450,92.0,53.0,160.0,5.0,0.29,19.46,1206.0,1
12.6744,79.9769,2021,7.9,742,0,104,191.0,3.0,32.0,190,56.0,12.0,89.0,8.0,0.94,0.45,445.2,0
12.2669,79.9844,2021,7.0,1354,0,159,305.0,50.0,45.0,460,120.0,39.0,72.0,0.0,0.41,2.3,812.4,1
13.0153,80.1366,2021,7.0,1696,0,451,277.0,70.0,1.0,450,112.0,41.0,163.0,11.0,1.13,5.89,1017.6,1
12.9431,80.1476,2021,7.2,1182,0,384,178.0,35.0,9.0,400,76.0,51.0,89.0,3.0,0.55,0.31,709.2,1
12.8083,80.0297,2021,7.7,823,0,238,113.0,6.0,38.0,310,56.0,41.0,37.0,3.0,0.59,0.22,493.8,1
12.998,80.0936,2021,7.2,1331,0,311,241.0,44.0,27.0,350,112.0,17.0,127.0,3.0,1.21,1.05,798.6,1
12.5028,79.8761,2021,7.38,1287,0,390,156.0,5.0,38.0,390,136.0,12.0,78.0,5.0,0.36,1.72,772.2,1
13.0342,80.1085,2021,7.1,1813,0,372,298.0,66.0,85.0,460,128.0,34.0,184.0,14.0,0.8,1.63,1087.8,1
12.9855,80.1784,2021,7.47,1034,0,275,156.0,64.0,27.0,340,80.0,34.0,87.0,1.0,0.63,1.72,620.4,1
12.8125,80.2433,2021,6.96,2180,0,116,540.0,186.0,6.0,380,60.0,56.0,304.0,15.0,0.32,0.24,1308.0,1
12.9576,80.1261,2021,7.12,1687,0,433,348.0,7.0,1.0,350,68.0,44.0,226.0,3.0,0.42,0.61,1012.2,1
13.0106,80.196,2021,7.3,912,0,262,146.0,35.0,16.0,230,64.0,17.0,93.0,15.0,0.93,0.39,547.2,1
12.8833,80.1106,2021,7.1,1216,0,305,160.0,90.0,35.0,370,72.0,46.0,82.0,0.0,0.63,0.51,729.6,1
12.8898,80.022,2021,7.33,1890,0,397,391.0,48.0,49.0,690,132.0,88.0,126.0,4.0,0.48,0.99,1134.0,2
12.9725,80.1543,2021,7.56,1165,0,293,213.0,47.0,16.0,420,108.0,36.0,72.0,1.0,0.82,1.38,699.0,1
12.9263,80.1979,2021,7.25,1750,0,372,369.0,49.0,22.0,580,176.0,34.0,133.0,3.0,0.25,1.78,1050.0,1
12.8506,79.9119,2021,7.3,579,0,110,82.0,30.0,10.0,70,12.0,10.0,72.0,0.0,0.5,0.07,347.4,0
12.8556,80.1693,2021,7.5,1056,0,250,163.0,31.0,62.0,350,60.0,49.0,86.0,3.0,0.54,0.2,633.6,1
13.0338,80.1569,2021,7.1,1356,0,421,213.0,21.0,2.0,370,88.0,36.0,123.0,2.0,1.21,1.09,813.6,1
12.9037,80.233,2021,7.51,3110,0,183,696.0,328.0,112.0,340,68.0,41.0,467.0,102.0,1.12,1.17,1866.0,2
13.0071,80.1976,2021,7.0,1910,0,488,320.0,78.0,59.0,540,144.0,44.0,184.0,1.0,1.32,3.16,1146.0,1
12.931,80.1166,2021,7.26,968,0,262,149.0,25.0,58.0,310,72.0,32.0,83.0,4.0,0.54,0.01,580.8,1
12.72,80.1852,2021,7.59,1457,0,348,220.0,144.0,5.0,360,56.0,54.0,158.0,7.0,0.84,2.11,874.2,1
12.9628,80.1132,2021,7.15,897,0,262,156.0,9.0,13.0,270,68.0,24.0,65.0,31.0,0.12,0.31,538.2,1
12.8267,79.8211,2021,7.0,2610,0,390,440.0,98.0,110.0,780,240.0,44.0,65.0,89.0,1.7,18,1566.0,2
12.6117,79.7344,2021,7.12,8020,0,732,2382.0,9.0,68.0,2780,576.0,326.0,457.0,0.0,1.04,0.06,4812.0,2
8.325,77.2583,2021,7.6,180,0,24,14.0,16.0,25.0,60,12.0,7.0,8.0,3.0,0.2,0,108.0,0
8.0833,77.55,2021,7.7,1303,0,232,138.0,112.0,75.0,300,96.0,15.0,130.0,25.0,0.37,4.6,781.8,1
8.3097,77.2142,2021,7.1,409,0,24,50.0,23.0,54.0,100,20.0,12.0,19.0,6.0,0.15,0,245.4,1
8.1667,77.45,2021,7.7,1662,0,342,220.0,85.0,72.0,400,116.0,27.0,172.0,24.0,0.57,7.37,997.2,1
9.1667,77.5625,2021,7.7,1150,0,433,92.0,52.0,68.0,230,44.0,29.0,145.0,10.0,1.36,3.05,690.0,1
8.0947,77.5444,2021,7.0,1640,0,171,347.0,152.0,104.0,320,52.0,46.0,227.0,5.0,0.6,0,984.0,2
8.245,77.2378,2021,7.4,1162,0,37,252.0,98.0,15.0,275,52.0,35.0,82.0,3.0,0.55,0,697.2,1
8.1283,77.3683,2021,7.3,864,0,73,195.0,89.0,9.0,210,32.0,32.0,88.0,3.0,0.53,0.14,518.4,1
8.2411,77.3192,2021,7.5,1286,0,153,213.0,84.0,62.0,230,40.0,32.0,117.0,47.0,0.59,0.63,771.6,1
8.3364,77.2717,2021,7.5,590,0,159,71.0,55.0,6.0,220,56.0,19.0,23.0,4.0,0.63,0,354.0,0
12.7522,77.9756,2021,8.01,1882,0,342,292.0,248.0,113.0,440,76.0,61.0,256.0,17.0,0.84,38.06,1129.2,2
12.4089,78.1658,2021,7.86,1024,0,439,78.0,83.0,1.0,150,16.0,27.0,198.0,4.0,2.86,1.74,614.4,2
12.5208,77.7917,2021,7.29,2520,0,415,398.0,375.0,60.0,640,148.0,66.0,316.0,6.0,1.07,8.26,1512.0,2
12.6138,78.0176,2021,7.71,615,0,244,75.0,36.0,1.0,180,36.0,22.0,66.0,5.0,0.77,2,369.0,0
12.5974,78.1331,2021,8.03,1536,0,451,213.0,211.0,12.0,510,52.0,92.0,137.0,15.0,2.12,135.22,921.6,2
12.4106,78.2075,2021,7.82,1272,0,427,192.0,48.0,9.0,300,64.0,34.0,152.0,3.0,0.99,1.89,763.2,1
12.3823,78.8982,2021,8.08,1279,0,622,107.0,122.0,0.0,200,24.0,34.0,239.0,10.0,1.26,1.5,767.4,1
12.4131,78.1708,2021,7.31,570,0,183,68.0,22.0,18.0,110,36.0,5.0,47.0,50.0,0.35,1.42,342.0,0
12.6156,77.7844,2021,7.51,1437,0,366,92.0,339.0,35.0,580,188.0,27.0,80.0,12.0,1.28,123.84,862.2,1
12.5344,78.3752,2021,7.71,597,0,293,36.0,36.0,0.0,140,30.0,16.0,69.0,9.0,0.85,7.4,358.2,0
12.2725,78.3083,2021,7.85,1072,0,342,164.0,54.0,8.0,180,28.0,27.0,184.0,2.0,2.36,2.71,643.2,2
12.4721,78.2154,2021,7.44,1748,0,329,370.0,108.0,37.0,360,84.0,36.0,229.0,1.0,1.5,7.7,1048.8,1
12.3917,78.2469,2021,7.88,3360,0,647,754.0,166.0,69.0,650,132.0,78.0,416.0,88.0,1.24,6.66,2016.0,2
12.5133,78.0361,2021,7.46,2480,0,708,341.0,134.0,219.0,560,148.0,46.0,266.0,114.0,0.26,4.71,1488.0,2
12.5828,77.6567,2021,7.55,518,0,201,68.0,16.0,0.0,120,40.0,5.0,77.0,2.0,2.76,6.72,310.8,1
