Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,U(ppb),TDS
12.4064,79.8133,2021,7.2,1422,0,323,248,50,40,450,64,70,99,1,1.15,3,853.2
12.8633,80.2261,2021,7.45,764,0,92,114,108,34,190,20,34,69,40,0.37,0.18,458.4
12.9403,80.1378,2021,7.42,497,0,134,60,16,50,165,24,26,36,1,0.17,0.28,298.2
12.95,80.1338,2021,7.09,1761,0,525,312,29,7,530,76,83,169,4,0.91,1.04,1056.6
12.2586,79.9028,2021,7.11,485,0,226,28,2,21,160,32,19,36,0,0.4,0.47,291
12.8439,80.0622,2021,7.15,1360,0,275,220,10,99,420,120,29,96,30,0.69,0.73,816
12.8336,79.7025,2021,7.8,3930,0,1110,596,8,72,140,32,15,722,23,1.76,111,2358
12.9574,80.1785,2021,7.4,1616,0,336,305,78,39,460,120,39,153,4,0.55,0.78,969.6
12.8687,80.1101,2021,7.38,1824,0,397,312,73,98,480,116,46,199,2,0.64,1.69,1094.4
12.3506,79.9014,2021,7.64,962,0,268,163,6,19,250,44,34,104,2,0.9,0.47,577.2
12.9008,80.1615,2021,7.38,1960,0,445,369,44,26,490,104,56,214,3,0.78,2.52,1176
12.6158,80.1925,2021,7.55,443,0,128,57,54,3,190,24,32,17,6,0.59,0.15,265.8
12.919,80.0424,2021,7.54,2100,0,628,277,40,146,330,92,24,169,268,0.97,0.96,1260
12.8943,80.0645,2021,7.4,1710,0,403,291,52,65,430,140,19,182,21,0.37,0.29,1026
12.9814,80.156,2021,7.27,2090,0,397,391,106,40,510,132,44,217,2,0.89,6.92,1254
12.9173,80.0856,2021,7.32,2690,0,622,518,71,53,440,80,58,402,4,1.11,2.33,1614
12.8338,80.1667,2021,7.52,909,0,220,170,35,2,340,64,44,52,5,0.2,0,545.4
12.63,79.8336,2021,7.1,840,0,305,57,30,25,230,76,10,54,0,0.99,1.67,504
12.5269,80.1622,2021,7.82,1328,0,329,178,122,73,460,128,34,90,21,0.7,7.84,796.8
12.7564,79.8592,2021,7.2,640,0,189,71,35,37,160,28,22,78,4,0.33,0.5,384
12.6061,80.056,2021,7.7,458,0,98,85,34,8,180,24,29,23,8,0.51,0.56,274.8
