State,District,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS
Tamilnadu,Thiruvanamalai,12.5,79.423,2019,7.4,3160,0,896.994,475.03,94,83.6,260,20,51.0384,585.8,19.6,1.8,1896
Tamilnadu,Thiruvanamalai,12.463,79.493,2019,7.1,2210,0,433.242,382.86,107.5,103.7,450,64,70.4816,285.9,1.8,1.3,1326
Tamilnadu,Thiruvanamalai,12.495,79.5612,2019,7.1,2170,0,482.058,418.31,59.5,63.5,590,204,19.4432,230.9,0.2,0.8,1302
Tamilnadu,Erode,11.3917,77.6778,2019,7.1,1790,0,469.854,241.06,72.5,123.6,480,100,55.8992,152,66,0.9,1074
Tamilnadu,Erode,11.4283,77.6492,2019,7.4,1872,0,640.71,148.89,166.5,45.9,390,36,72.912,217.4,60.6,1.2,1123.2
Tamilnadu,Erode,11.4811,77.6969,2019,7.1,2170,0,433.242,276.51,240.5,106.9,830,156,106.938,104.2,7.6,0.6,1302
Tamilnadu,Erode,11.6414,77.6822,2019,7.3,1702,0,378.324,276.51,110,70.1,750,108,116.659,52.9,2.9,1,1021.2
Tamilnadu,Erode,11.678,77.656,2019,7.2,2760,0,360.018,411.22,362.5,177.8,1130,168,172.558,116.9,8.8,1.1,1656
Tamilnadu,Erode,11.621,77.6335,2019,7.4,2640,0,585.792,319.05,384,127,630,108,87.4944,360.4,7.5,1.8,1584
Tamilnadu,Erode,11.6272,77.6061,2019,7.2,583,0,207.468,70.9,19.5,30.6,240,72,14.5824,27.7,0.5,0.6,349.8
Tamilnadu,Erode,11.5944,77.5875,2019,7.1,3390,0,463.752,297.78,786.5,118.4,1280,176,204.154,198.2,3.5,1.3,2034
Tamilnadu,Erode,11.4649,77.6058,2019,7.2,980,0,305.1,85.08,101,27,340,68,41.3168,66.2,14.6,0.9,588
Tamilnadu,Erode,11.38,77.4272,2019,7.2,2170,0,323,340,225,120,520,132,46,233,32,1,1302
Tamilnadu,Erode,11.4583,77.4458,2019,7.2,1216,0,445.446,120.53,35,77.9,500,140,36.456,57.7,2.6,1,729.6
Tamilnadu,Erode,11.5242,77.5167,2019,7.3,1318,0,414.936,134.71,51,115.6,420,48,72.912,112.2,3.4,0.2,790.8
Tamilnadu,Erode,11.5042,77.4083,2019,7.5,784,0,274.59,92.17,34,28.4,280,28,51.0384,50.5,9.1,1.2,470.4
Tamilnadu,Erode,11.5028,77.2472,2019,7.2,602,0,213.57,63.81,25,42.3,200,36,26.7344,66.2,3,0.4,361.2
Tamilnadu,Erode,11.5418,77.1762,2019,7.3,1510,0,439.344,170.16,57,126.8,440,64,68.0512,138.5,2,0.3,906
Tamilnadu,Erode,11.6739,77.1289,2019,7.3,1347,0,512.568,127.62,48,74.1,330,68,38.8864,169.7,2.8,0.8,808.2
Tamilnadu,Erode,11.7756,77.0231,2019,7.5,612,0,231.876,56.72,17,49.4,140,20,21.8736,74,2,0.2,367.2
Tamilnadu,Erode,11.4906,77.1306,2019,7.3,2440,0,427.14,397.04,177,152.7,740,96,121.52,210.6,2,0.5,1464
Tamilnadu,Erode,11.4833,77.15,2019,7.3,593,0,189.162,63.81,20.5,32,190,34,25.5192,36.3,2.5,0.8,355.8
Tamilnadu,Erode,11.4256,77.2411,2019,7.6,1209,0,439.344,106.35,44,93,320,40,53.4688,137.6,5.1,1.6,725.4
Tamilnadu,Erode,11.45,77.2694,2019,7.5,1036,0,353.916,113.44,60.5,35.4,290,52,38.8864,95.4,21.9,0.9,621.6
Tamilnadu,Erode,11.4556,77.3394,2019,7.3,917,0,244.08,113.44,31.5,97.8,350,88,31.5952,54.1,7.5,0.4,550.2
Tamilnadu,Erode,11.2,77.425,2019,7.5,1840,0,445.446,248.15,40,192.5,500,76,75.3424,174.5,16,1.1,1104
Tamilnadu,Erode,11.1381,77.6053,2019,7.4,1035,0,329.508,134.71,26,53.3,370,68,48.608,50.6,33.3,1.5,621
Tamilnadu,Erode,11.2361,77.6583,2019,7.5,1682,0,341.712,276.51,91.5,61,330,76,34.0256,209.2,20.5,1.1,1009.2
Tamilnadu,Erode,11.2314,77.715,2019,7.8,1700,0,530.874,226.88,79.5,36.5,330,60,43.7472,215.1,36.7,0.2,1020
Tamilnadu,Erode,11.1625,77.7,2019,7.2,592,0,152.55,56.72,14,40.9,160,42,13.3672,29.4,13.1,0.1,355.2
Tamilnadu,Erode,10.9625,77.6458,2019,7.8,2440,0,591.894,368.68,92,171.1,520,64,87.4944,320,7.2,1.2,1464
Tamilnadu,Erode,10.8917,77.5292,2019,7.3,2610,0,439.344,453.76,100.5,271.9,730,124,102.077,240.1,42.2,0.8,1566
Tamilnadu,Erode,10.6566,77.4677,2019,7.3,3520,0,408.834,638.1,292,293,1060,216,126.381,306.7,16.6,1.3,2112
Tamilnadu,Erode,10.6594,77.4997,2019,7.9,2780,0,500.364,283.6,493,46.2,810,208,70.4816,224.7,56.2,1,1668
Tamilnadu,Erode,10.7012,77.7394,2019,7.4,4170,0,292.896,1020.96,220.5,157.5,1240,160,204.154,361.4,28.8,1,2502
Tamilnadu,Erode,10.9444,77.7153,2019,7.3,702,0,195.264,113.44,17.5,5.1,160,40,14.5824,77.2,4.9,0.7,421.2
Tamilnadu,Erode,11.0417,77.7333,2019,7.5,2290,0,591.894,276.51,174.5,82.9,490,92,63.1904,208.9,136.7,0.9,1374
Tamilnadu,Erode,11.0819,77.8853,2019,7.6,1475,0,536.976,148.89,71,21.1,480,72,72.912,119,1.4,0.7,885
Tamilnadu,Erode,11.125,77.875,2019,7.5,1091,0,402.732,106.35,52.5,8.8,260,80,14.5824,111.2,16.9,0.6,654.6
Tamilnadu,Namakal,11.4128,77.7736,2019,7.5,1263,0,439.344,127.62,58.5,25.4,300,64,34.0256,130.6,19.2,1.7,757.8
Tamilnadu,Namakal,11.2753,77.8081,2019,7.4,1075,0,317.304,134.71,79.5,3.1,300,76,26.7344,98.1,9.1,0.4,645
Tamilnadu,Namakal,11.2589,78.9611,2019,7.4,1539,0,427.14,205.61,102.5,34.6,530,116,58.3296,106.4,6.5,0.8,923.4
Tamilnadu,Namakal,11.315,77.9242,2019,7.5,2520,0,341.712,467.94,107.5,219.2,600,140,60.76,234,107.5,0.8,1512
Tamilnadu,Namakal,11.3487,78.1256,2019,7.5,7780,0,506.466,935.88,1825,263,2100,208,384.003,786.6,20.9,1.8,4668
Tamilnadu,Namakal,11.3333,78.0833,2019,7.6,1920,0,512.568,262.33,91.25,113.1,500,56,87.4944,206.5,4.1,1,1152
Tamilnadu,Namakal,11.4403,78.0091,2019,7.7,6550,0,945.81,1233.66,590,138.9,1280,184,199.293,886,14.1,1.8,3930
Tamilnadu,Namakal,11.5167,78.0361,2019,7.5,3010,0,414.936,545.93,300.5,85.7,810,108,131.242,296,17.5,1.2,1806
Tamilnadu,Namakal,11.4219,77.9394,2019,7.4,3100,0,348,539,449,41,900,136,136,282,14,1.5,1860
Tamilnadu,Namakal,11.3833,77.9083,2019,7.5,1586,0,463.752,212.7,59,44.5,320,68,36.456,163.3,67.8,0.1,951.6
Tamilnadu,Namakal,11.4342,78.1344,2019,7.6,2290,0,549.18,333.23,140.5,72.6,520,68,85.064,247.6,8.3,1.7,1374
Tamilnadu,Namakal,11.1956,78.1087,2019,7.4,1625,0,353.916,255.24,125.6,44.9,570,80,89.9248,118.6,4,1.2,975
