Well_ID,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS
,13.2703,80.2631,2020,7.1,4660,0,451,1131,299,32,1240,312,112,382,25,1.55,2796
,13.31,80.28,2020,7.5,1704,0,317,327,80,47,270,76,19,212,39,1.02,1022.4
,13.33,80.28,2020,7.2,2960,0,244,761,89,11,1160,320,88,192,7,0.91,1776
,13.33,80.29,2020,8,6140,0,1537,1095,370,85,380,56,58,1061,265,1.31,3684
,13.38,80.29,2020,8.1,222,0,24,36,20,0.18,20,2,4,34,2,0.91,133.2
,13.42,80.31,2020,7.5,1805,0,403,384,105,3.69,510,120,51,221,3,1.38,1083
,13.4,80.25,2020,7.5,3550,0,354,740,312,0.8,980,212,109,393,5.5,0.44,2130
,13.4647,80.1119,2020,7.2,950,0,98,256,44,5,270,76,19,87,18,0.08,570
,13.2686,80.1531,2020,7.3,724,0,244,92,26,8,250,80,12,44,14,0.5,434.4
,13.15,80.2,2020,7.4,628,0,110,121,58,4,160,52,7,64,18,0.33,376.8
,13.2808,80.0769,2020,7.3,1160,0,317,192,66,4,260,60,27,143,15,0.71,696
,13.2483,80.1828,2020,7.5,389,0,92,64,34,1,100,28,7,39,16,0.5,233.4
,13.3125,80.05,2020,7.2,1112,0,317,149,45,58,360,100,27,78,19,0.23,667.2
,13.3417,79.9083,2020,7.4,1167,0,305,199,60,12,390,84,44,81,18,0.57,700.2
,13.2042,80.1792,2020,7.6,793,0,195,142,42,7,250,76,15,67,2,1.25,475.8
,13.0042,80.1875,2020,7.4,770,0,171,156,32,7,230,56,22,58,25,0.91,462
,12.8128,80.2433,2020,7.1,2100,0,171,575,107,1,470,84,63,252,20,0.35,1260
,12.7792,79.7208,2020,7.2,572,0,171,92,42,3,190,48,17,38,18,1.01,343.2
,12.9,80.23,2020,6.8,2360,0,207,484,84,81,310,112,7.3,298,47,0.66,1416
,12.99,80.23,2020,7.1,1604,0,37,447,18,7.3,60,8,9.7,297,12,0,962.4
,12.99,80.25,2020,6.8,970,0,92,220,34,4.2,120,28,12,134,7.4,0.6,582
,13.01,80.2,2020,6.9,1680,0,378,256,142,61,450,120,36,212,2.5,0.85,1008
,13.02,80.15,2020,7.2,1167,0,305,128,69,122,290,104,7.3,104,44,0.71,700.2
,13.04,80.21,2020,7.6,1819,0,805,135,124,4,190,40,22,407,6.4,1.52,1091.4
,12.97,80.17,2020,7.6,50,0,12,7.1,1.6,0.8,14,2.4,1.9,4.7,0,0,30
,12.98,80.13,2020,7.2,896,0,274,103,40,27,280,58,33,72,6.8,0.1,537.6
,12.96,80.11,2020,7.1,2810,0,293,540,320,47,1150,204,156,92,1.6,0.45,1686
,12.96,80.13,2020,7.2,2780,0,281,526,312,47,1220,212,169,90,1.6,0.38,1668
,12.9406,80.1375,2020,7.4,419,0,100,38,21,41,146,23,21,21,1.7,0.12,251.4
,12.94,80.15,2020,7.4,688,0,189,85,44,3.4,190,38,23,72,6.8,0.18,412.8
,12.93,80.13,2020,7.3,425,0,139,36,28,1.7,114,29,10,40,3.6,0.12,255
,12.8989,80.1606,2020,7.5,1731,0,348,95,298,77,440,76,61,181,14,0.27,1038.6
,12.8875,80.1486,2020,7.6,1020,0,171,37,206,56,350,96,27,60,13,0.3,612
