State,District,Latitude,Longitude,Year,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality
Tamilnadu,Thiruvanamalai,12.8167,79.3083,2019,7.0,3020,0,439.344,723.18,96.0,54.9,880,196.0,94.7856,285.2,1.1,0.7,1812.0,2
Tamilnadu,Thiruvanamalai,12.46,79.2445,2019,7.1,2570,0,518.67,496.3,89.0,111.4,780,176.0,82.6336,234.6,1.1,0.6,1542.0,2
Tamilnadu,Thiruvanamalai,12.5689,79.7233,2019,7.1,1445,0,372.222,233.97,42.5,72.8,580,144.0,53.4688,63.9,1.6,1.0,867.0,1
Tamilnadu,Thiruvanamalai,12.5,79.423,2019,7.4,3160,0,896.994,475.03,94.0,83.6,260,20.0,51.0384,585.8,19.6,1.8,1896.0,2
Tamilnadu,Thiruvanamalai,12.463,79.493,2019,7.1,2210,0,433.242,382.86,107.5,103.7,450,64.0,70.4816,285.9,1.8,1.3,1326.0,2
Tamilnadu,Thiruvanamalai,12.495,79.5612,2019,7.1,2170,0,482.058,418.31,59.5,63.5,590,204.0,19.4432,230.9,0.2,0.8,1302.0,2
Tamilnadu,Erode,11.3917,77.6778,2019,7.1,1790,0,469.854,241.06,72.5,123.6,480,100.0,55.8992,152.0,66.0,0.9,1074.0,2
Tamilnadu,Erode,11.4283,77.6492,2019,7.4,1872,0,640.71,148.89,166.5,45.9,390,36.0,72.912,217.4,60.6,1.2,1123.2,1
Tamilnadu,Erode,11.4811,77.6969,2019,7.1,2170,0,433.242,276.51,240.5,106.9,830,156.0,106.938,104.2,7.6,0.6,1302.0,2
Tamilnadu,Erode,11.6414,77.6822,2019,7.3,1702,0,378.324,276.51,110.0,70.1,750,108.0,116.659,52.9,2.9,1.0,1021.2,2
Tamilnadu,Erode,11.678,77.656,2019,7.2,2760,0,360.018,411.22,362.5,177.8,1130,168.0,172.558,116.9,8.8,1.1,1656.0,2
Tamilnadu,Erode,11.621,77.6335,2019,7.4,2640,0,585.792,319.05,384.0,127.0,630,108.0,87.4944,360.4,7.5,1.8,1584.0,2
Tamilnadu,Erode,11.6272,77.6061,2019,7.2,583,0,207.468,70.9,19.5,30.6,240,72.0,14.5824,27.7,0.5,0.6,349.8,0
Tamilnadu,Erode,11.5944,77.5875,2019,7.1,3390,0,463.752,297.78,786.5,118.4,1280,176.0,204.154,198.2,3.5,1.3,2034.0,2
Tamilnadu,Erode,11.4649,77.6058,2019,7.2,980,0,305.1,85.08,101.0,27.0,340,68.0,41.3168,66.2,14.6,0.9,588.0,1
Tamilnadu,Erode,11.38,77.4272,2019,7.2,2170,0,323.0,340.0,225.0,120.0,520,132.0,46.0,233.0,32.0,1.0,1302.0,2
Tamilnadu,Erode,11.4583,77.4458,2019,7.2,1216,0,445.446,120.53,35.0,77.9,500,140.0,36.456,57.7,2.6,1.0,729.6,1
Tamilnadu,Erode,11.5242,77.5167,2019,7.3,1318,0,414.936,134.71,51.0,115.6,420,48.0,72.912,112.2,3.4,0.2,790.8,2
Tamilnadu,Erode,11.5042,77.4083,2019,7.5,784,0,274.59,92.17,34.0,28.4,280,28.0,51.0384,50.5,9.1,1.2,470.4,1
Tamilnadu,Erode,11.5028,77.2472,2019,7.2,602,0,213.57,63.81,25.0,42.3,200,36.0,26.7344,66.2,3.0,0.4,361.2,0
Tamilnadu,Erode,11.5418,77.1762,2019,7.3,1510,0,439.344,170.16,57.0,126.8,440,64.0,68.0512,138.5,2.0,0.3,906.0,2
Tamilnadu,Erode,11.6739,77.1289,2019,7.3,1347,0,512.568,127.62,48.0,74.1,330,68.0,38.8864,169.7,2.8,0.8,808.2,1
Tamilnadu,Erode,11.7756,77.0231,2019,7.5,612,0,231.876,56.72,17.0,49.4,140,20.0,21.8736,74.0,2.0,0.2,367.2,1
Tamilnadu,Erode,11.4906,77.1306,2019,7.3,2440,0,427.14,397.04,177.0,152.7,740,96.0,121.52,210.6,2.0,0.5,1464.0,2
Tamilnadu,Erode,11.4833,77.15,2019,7.3,593,0,189.162,63.81,20.5,32.0,190,34.0,25.5192,36.3,2.5,0.8,355.8,0
Tamilnadu,Erode,11.4256,77.2411,2019,7.6,1209,0,439.344,106.35,44.0,93.0,320,40.0,53.4688,137.6,5.1,1.6,725.4,2
Tamilnadu,Erode,11.45,77.2694,2019,7.5,1036,0,353.916,113.44,60.5,35.4,290,52.0,38.8864,95.4,21.9,0.9,621.6,1
Tamilnadu,Erode,11.4556,77.3394,2019,7.3,917,0,244.08,113.44,31.5,97.8,350,88.0,31.5952,54.1,7.5,0.4,550.2,1
Tamilnadu,Erode,11.2,77.425,2019,7.5,1840,0,445.446,248.15,40.0,192.5,500,76.0,75.3424,174.5,16.0,1.1,1104.0,2
Tamilnadu,Erode,11.1381,77.6053,2019,7.4,1035,0,329.508,134.71,26.0,53.3,370,68.0,48.608,50.6,33.3,1.5,621.0,1
Tamilnadu,Erode,11.2361,77.6583,2019,7.5,1682,0,341.712,276.51,91.5,61.0,330,76.0,34.0256,209.2,20.5,1.1,1009.2,1
Tamilnadu,Erode,11.2314,77.715,2019,7.8,1700,0,530.874,226.88,79.5,36.5,330,60.0,43.7472,215.1,36.7,0.2,1020.0,1
Tamilnadu,Erode,11.1625,77.7,2019,7.2,592,0,152.55,56.72,14.0,40.9,160,42.0,13.3672,29.4,13.1,0.1,355.2,0
Tamilnadu,Erode,10.9625,77.6458,2019,7.8,2440,0,591.894,368.68,92.0,171.1,520,64.0,87.4944,320.0,7.2,1.2,1464.0,2
Tamilnadu,Erode,10.8917,77.5292,2019,7.3,2610,0,439.344,453.76,100.5,271.9,730,124.0,102.077,240.1,42.2,0.8,1566.0,2
Tamilnadu,Erode,10.6566,77.4677,2019,7.3,3520,0,408.834,638.1,292.0,293.0,1060,216.0,126.381,306.7,16.6,1.3,2112.0,2
Tamilnadu,Erode,10.6594,77.4997,2019,7.9,2780,0,500.364,283.6,493.0,46.2,810,208.0,70.4816,224.7,56.2,1.0,1668.0,2
Tamilnadu,Erode,10.7012,77.7394,2019,7.4,4170,0,292.896,1020.96,220.5,157.5,1240,160.0,204.154,361.4,28.8,1.0,2502.0,2
Tamilnadu,Erode,10.9444,77.7153,2019,7.3,702,0,195.264,113.44,17.5,5.1,160,40.0,14.5824,77.2,4.9,0.7,421.2,0
Tamilnadu,Erode,11.0417,77.7333,2019,7.5,2290,0,591.894,276.51,174.5,82.9,490,92.0,63.1904,208.9,136.7,0.9,1374.0,1
Tamilnadu,Erode,11.0819,77.8853,2019,7.6,1475,0,536.976,148.89,71.0,21.1,480,72.0,72.912,119.0,1.4,0.7,885.0,1
Tamilnadu,Erode,11.125,77.875,2019,7.5,1091,0,402.732,106.35,52.5,8.8,260,80.0,14.5824,111.2,16.9,0.6,654.6,1
Tamilnadu,Namakal,11.4128,77.7736,2019,7.5,1263,0,439.344,127.62,58.5,25.4,300,64.0,34.0256,130.6,19.2,1.7,757.8,2
Tamilnadu,Namakal,11.2753,77.8081,2019,7.4,1075,0,317.304,134.71,79.5,3.1,300,76.0,26.7344,98.1,9.1,0.4,645.0,1
Tamilnadu,Namakal,11.2589,78.9611,2019,7.4,1539,0,427.14,205.61,102.5,34.6,530,116.0,58.3296,106.4,6.5,0.8,923.4,1
Tamilnadu,Namakal,11.315,77.9242,2019,7.5,2520,0,341.712,467.94,107.5,219.2,600,140.0,60.76,234.0,107.5,0.8,1512.0,2
Tamilnadu,Namakal,11.3487,78.1256,2019,7.5,7780,0,506.466,935.88,1825.0,263.0,2100,208.0,384.003,786.6,20.9,1.8,4668.0,2
Tamilnadu,Namakal,11.3333,78.0833,2019,7.6,1920,0,512.568,262.33,91.25,113.1,500,56.0,87.4944,206.5,4.1,1.0,1152.0,2
Tamilnadu,Namakal,11.4403,78.0091,2019,7.7,6550,0,945.81,1233.66,590.0,138.9,1280,184.0,199.293,886.0,14.1,1.8,3930.0,2
Tamilnadu,Namakal,11.5167,78.0361,2019,7.5,3010,0,414.936,545.93,300.5,85.7,810,108.0,131.242,296.0,17.5,1.2,1806.0,2
Tamilnadu,Namakal,11.4219,77.9394,2019,7.4,3100,0,348.0,539.0,449.0,41.0,900,136.0,136.0,282.0,14.0,1.5,1860.0,2
Tamilnadu,Namakal,11.3833,77.9083,2019,7.5,1586,0,463.752,212.7,59.0,44.5,320,68.0,36.456,163.3,67.8,0.1,951.6,1
